datetime,distance,event,detected,source_name,frame_hash
20250127-150033,0,STOP,car,fewers.mp4,2
20250127-150033,0,STOP,car,fewers.mp4,2
20250127-150033,0,STOP,car,fewers.mp4,3
20250127-150033,0,STOP,car,fewers.mp4,3
20250127-150033,0,PERSON,person,fewers.mp4,3
20250127-150033,0,STOP,car,fewers.mp4,4
20250127-150033,0,STOP,car,fewers.mp4,4
20250127-150033,0,PERSON,person,fewers.mp4,4
20250127-150036,0,STOP,car,fewers.mp4,5
20250127-150036,0,STOP,car,fewers.mp4,5
20250127-150036,0,PERSON,person,fewers.mp4,5
20250127-150039,0,STOP,car,fewers.mp4,6
20250127-150039,0,STOP,car,fewers.mp4,6
20250127-150042,0,STOP,car,fewers.mp4,7
20250127-150042,0,STOP,car,fewers.mp4,7
20250127-150042,0,PERSON,person,fewers.mp4,7
20250127-150045,0,STOP,car,fewers.mp4,8
20250127-150045,0,STOP,car,fewers.mp4,8
20250127-150048,0,STOP,car,fewers.mp4,9
20250127-150048,0,STOP,car,fewers.mp4,9
20250127-150048,0,PERSON,person,fewers.mp4,9
20250127-150051,0,STOP,car,fewers.mp4,10
20250127-150051,0,STOP,car,fewers.mp4,10
20250127-150051,0,PERSON,person,fewers.mp4,10
20250127-150054,0,STOP,car,fewers.mp4,11
20250127-150054,0,STOP,car,fewers.mp4,11
20250127-150057,0,STOP,car,fewers.mp4,12
20250127-150057,0,STOP,car,fewers.mp4,12
20250127-150100,0,STOP,car,fewers.mp4,13
20250127-150100,0,STOP,car,fewers.mp4,13
20250127-150103,0,STOP,car,fewers.mp4,14
20250127-150103,0,STOP,car,fewers.mp4,14
20250127-150106,0,STOP,car,fewers.mp4,15
20250127-150106,0,STOP,car,fewers.mp4,15
20250127-150106,0,STOP,car,fewers.mp4,16
20250127-150106,0,STOP,car,fewers.mp4,16
20250127-150106,0,PERSON,person,fewers.mp4,16
20250127-150106,0,STOP,car,fewers.mp4,17
20250127-150106,0,STOP,car,fewers.mp4,17
20250127-150106,0,PERSON,person,fewers.mp4,17
20250127-150106,0,STOP,car,fewers.mp4,18
20250127-150106,0,STOP,car,fewers.mp4,18
20250127-150106,0,STOP,car,fewers.mp4,19
20250127-150106,0,STOP,car,fewers.mp4,20
20250127-150106,0,STOP,car,fewers.mp4,20
20250127-150107,0,STOP,car,fewers.mp4,21
20250127-150107,0,STOP,car,fewers.mp4,21
20250127-150107,0,PERSON,person,fewers.mp4,21
20250127-150107,0,STOP,car,fewers.mp4,22
20250127-150107,0,STOP,car,fewers.mp4,22
20250127-150107,0,PERSON,person,fewers.mp4,22
20250127-150107,0,STOP,car,fewers.mp4,23
20250127-150107,0,STOP,car,fewers.mp4,23
20250127-150107,0,PERSON,person,fewers.mp4,23
20250127-150107,0,STOP,car,fewers.mp4,24
20250127-150107,0,STOP,car,fewers.mp4,24
20250127-150107,0,STOP,car,fewers.mp4,25
20250127-150107,0,STOP,car,fewers.mp4,25
20250127-150107,0,STOP,car,fewers.mp4,26
20250127-150107,0,STOP,car,fewers.mp4,27
20250127-150107,0,STOP,car,fewers.mp4,27
20250127-150107,0,STOP,car,fewers.mp4,28
20250127-150107,0,STOP,car,fewers.mp4,28
20250127-150107,0,STOP,car,fewers.mp4,29
20250127-150107,0,STOP,car,fewers.mp4,29
20250127-150107,0,STOP,car,fewers.mp4,30
20250127-150107,0,STOP,car,fewers.mp4,30
20250127-150107,0,STOP,car,fewers.mp4,31
20250127-150107,0,STOP,car,fewers.mp4,31
20250127-150107,0,PERSON,person,fewers.mp4,31
20250127-150107,0,STOP,car,fewers.mp4,32
20250127-150107,0,STOP,car,fewers.mp4,32
20250127-150107,0,STOP,car,fewers.mp4,33
20250127-150107,0,STOP,car,fewers.mp4,33
20250127-150107,0,PERSON,person,fewers.mp4,33
20250127-150107,0,STOP,car,fewers.mp4,34
20250127-150107,0,STOP,car,fewers.mp4,35
20250127-150107,0,REVERSE,car,fewers.mp4,35
20250127-150107,0,STOP,car,fewers.mp4,36
20250127-150107,0,STOP,car,fewers.mp4,37
20250127-150107,0,STOP,car,fewers.mp4,37
20250127-150107,0,STOP,car,fewers.mp4,38
20250127-150107,0,STOP,car,fewers.mp4,38
20250127-150107,0,STOP,car,fewers.mp4,39
20250127-150107,0,STOP,car,fewers.mp4,39
20250127-150107,0,STOP,car,fewers.mp4,40
20250127-150107,0,STOP,car,fewers.mp4,40
20250127-150107,0,STOP,car,fewers.mp4,41
20250127-150107,0,STOP,car,fewers.mp4,41
20250127-150107,0,STOP,car,fewers.mp4,42
20250127-150107,0,STOP,car,fewers.mp4,42
20250127-150107,0,STOP,car,fewers.mp4,43
20250127-150107,0,STOP,car,fewers.mp4,43
20250127-150107,0,STOP,car,fewers.mp4,44
20250127-150107,0,STOP,car,fewers.mp4,44
20250127-150107,0,STOP,car,fewers.mp4,45
20250127-150107,0,STOP,car,fewers.mp4,45
20250127-150107,0,STOP,car,fewers.mp4,46
20250127-150107,0,STOP,car,fewers.mp4,46
20250127-150108,0,STOP,car,fewers.mp4,47
20250127-150108,0,STOP,car,fewers.mp4,47
20250127-150108,0,STOP,car,fewers.mp4,48
20250127-150108,0,STOP,car,fewers.mp4,48
20250127-150108,0,STOP,car,fewers.mp4,49
20250127-150108,0,STOP,car,fewers.mp4,49
20250127-150108,0,STOP,car,fewers.mp4,50
20250127-150108,0,STOP,car,fewers.mp4,50
20250127-150108,0,STOP,car,fewers.mp4,51
20250127-150108,0,STOP,car,fewers.mp4,51
20250127-150108,0,STOP,car,fewers.mp4,52
20250127-150108,0,STOP,car,fewers.mp4,52
20250127-150108,0,STOP,car,fewers.mp4,53
20250127-150108,0,STOP,car,fewers.mp4,53
