datetime,distance,event,detected,source_name,frame_hash
20250127-151637,0,PERSON,person,oneway.mp4,1
20250127-151637,0,PERSON,person,oneway.mp4,1
20250127-151637,0,PERSON,person,oneway.mp4,1
20250127-151637,0,PERSON,person,oneway.mp4,1
20250127-151638,0,STOP,car,oneway.mp4,2
20250127-151638,0,STOP,car,oneway.mp4,2
20250127-151638,0,PERSON,person,oneway.mp4,2
20250127-151638,0,PERSON,person,oneway.mp4,2
20250127-151638,0,PERSON,person,oneway.mp4,2
20250127-151638,0,PERSON,person,oneway.mp4,2
20250127-151638,0,STOP,car,oneway.mp4,2
20250127-151638,0,PERSON,person,oneway.mp4,2
20250127-151638,0,STOP,car,oneway.mp4,3
20250127-151638,0,STOP,car,oneway.mp4,3
20250127-151638,0,PERSON,person,oneway.mp4,3
20250127-151638,0,PERSON,person,oneway.mp4,3
20250127-151638,0,STOP,car,oneway.mp4,3
20250127-151638,0,PERSON,person,oneway.mp4,3
20250127-151638,0,PERSON,person,oneway.mp4,3
20250127-151638,0,PERSON,person,oneway.mp4,3
20250127-151638,0,STOP,car,oneway.mp4,4
20250127-151638,0,STOP,car,oneway.mp4,4
20250127-151638,0,PERSON,person,oneway.mp4,4
20250127-151638,0,PERSON,person,oneway.mp4,4
20250127-151638,0,PERSON,person,oneway.mp4,4
20250127-151638,0,PERSON,person,oneway.mp4,4
20250127-151638,0,STOP,bicycle,oneway.mp4,4
20250127-151638,0,STOP,car,oneway.mp4,4
20250127-151638,0,STOP,bicycle,oneway.mp4,4
20250127-151638,0,STOP,car,oneway.mp4,4
20250127-151641,0,STOP,car,oneway.mp4,5
20250127-151641,0,PERSON,person,oneway.mp4,5
20250127-151641,0,PERSON,person,oneway.mp4,5
20250127-151641,0,PERSON,person,oneway.mp4,5
20250127-151641,0,STOP,car,oneway.mp4,5
20250127-151641,0,PERSON,person,oneway.mp4,5
20250127-151641,0,STOP,bicycle,oneway.mp4,5
20250127-151641,0,STOP,car,oneway.mp4,5
20250127-151641,0,STOP,motorcycle,oneway.mp4,5
20250127-151645,0,STOP,car,oneway.mp4,6
20250127-151645,0,STOP,car,oneway.mp4,6
20250127-151645,0,PERSON,person,oneway.mp4,6
20250127-151645,0,PERSON,person,oneway.mp4,6
20250127-151645,0,PERSON,person,oneway.mp4,6
20250127-151645,0,PERSON,person,oneway.mp4,6
20250127-151648,0,STOP,car,oneway.mp4,7
20250127-151648,0,STOP,car,oneway.mp4,7
20250127-151648,0,STOP,car,oneway.mp4,7
20250127-151648,0,STOP,car,oneway.mp4,7
20250127-151648,0,PERSON,person,oneway.mp4,7
20250127-151648,0,PERSON,person,oneway.mp4,7
20250127-151648,0,PERSON,person,oneway.mp4,7
20250127-151648,0,PERSON,person,oneway.mp4,7
20250127-151651,0,STOP,car,oneway.mp4,8
20250127-151651,0,PERSON,person,oneway.mp4,8
20250127-151651,0,PERSON,person,oneway.mp4,8
20250127-151651,0,PERSON,person,oneway.mp4,8
20250127-151651,0,PERSON,person,oneway.mp4,8
20250127-151654,0,STOP,car,oneway.mp4,9
20250127-151654,0,STOP,car,oneway.mp4,9
20250127-151654,0,PERSON,person,oneway.mp4,9
20250127-151654,0,PERSON,person,oneway.mp4,9
20250127-151654,0,PERSON,person,oneway.mp4,9
20250127-151654,0,STOP,bicycle,oneway.mp4,9
20250127-151654,0,PERSON,person,oneway.mp4,9
20250127-151654,0,STOP,car,oneway.mp4,9
20250127-151654,0,STOP,car,oneway.mp4,9
20250127-151657,0,STOP,car,oneway.mp4,10
20250127-151657,0,STOP,car,oneway.mp4,10
20250127-151657,0,PERSON,person,oneway.mp4,10
20250127-151657,0,PERSON,person,oneway.mp4,10
20250127-151657,0,PERSON,person,oneway.mp4,10
20250127-151657,0,PERSON,person,oneway.mp4,10
20250127-151657,0,STOP,car,oneway.mp4,10
20250127-151700,0,STOP,car,oneway.mp4,11
20250127-151700,0,STOP,car,oneway.mp4,11
20250127-151700,0,PERSON,person,oneway.mp4,11
20250127-151700,0,PERSON,person,oneway.mp4,11
20250127-151700,0,PERSON,person,oneway.mp4,11
20250127-151700,0,STOP,bicycle,oneway.mp4,11
20250127-151700,0,PERSON,person,oneway.mp4,11
20250127-151700,0,STOP,car,oneway.mp4,11
20250127-151700,0,STOP,car,oneway.mp4,11
20250127-151703,0,STOP,car,oneway.mp4,12
20250127-151703,0,STOP,car,oneway.mp4,12
20250127-151703,0,STOP,car,oneway.mp4,12
20250127-151703,0,PERSON,person,oneway.mp4,12
20250127-151703,0,PERSON,person,oneway.mp4,12
20250127-151703,0,PERSON,person,oneway.mp4,12
20250127-151703,0,PERSON,person,oneway.mp4,12
20250127-151703,0,STOP,car,oneway.mp4,12
20250127-151703,0,STOP,car,oneway.mp4,12
20250127-151706,0,STOP,car,oneway.mp4,13
20250127-151706,0,STOP,car,oneway.mp4,13
20250127-151706,0,PERSON,person,oneway.mp4,13
20250127-151706,0,PERSON,person,oneway.mp4,13
20250127-151706,0,PERSON,person,oneway.mp4,13
20250127-151706,0,PERSON,person,oneway.mp4,13
20250127-151706,0,STOP,car,oneway.mp4,13
20250127-151710,0,STOP,car,oneway.mp4,14
20250127-151710,0,STOP,car,oneway.mp4,14
20250127-151710,0,STOP,car,oneway.mp4,14
20250127-151710,0,STOP,car,oneway.mp4,14
20250127-151710,0,PERSON,person,oneway.mp4,14
20250127-151710,0,PERSON,person,oneway.mp4,14
20250127-151710,0,PERSON,person,oneway.mp4,14
20250127-151710,0,PERSON,person,oneway.mp4,14
20250127-151710,0,STOP,car,oneway.mp4,14
20250127-151710,0,STOP,bicycle,oneway.mp4,14
20250127-151710,0,STOP,car,oneway.mp4,14
20250127-151710,0,STOP,car,oneway.mp4,14
20250127-151712,0,STOP,car,oneway.mp4,15
20250127-151712,0,STOP,car,oneway.mp4,15
20250127-151712,0,STOP,car,oneway.mp4,15
20250127-151712,0,STOP,car,oneway.mp4,15
20250127-151712,0,PERSON,person,oneway.mp4,15
20250127-151712,0,PERSON,person,oneway.mp4,15
20250127-151712,0,PERSON,person,oneway.mp4,15
20250127-151712,0,PERSON,person,oneway.mp4,15
20250127-151712,0,STOP,car,oneway.mp4,15
20250127-151713,0,STOP,car,oneway.mp4,16
20250127-151713,0,STOP,car,oneway.mp4,16
20250127-151713,0,STOP,car,oneway.mp4,16
20250127-151713,0,STOP,car,oneway.mp4,16
